label,cost,lat,lng,url
Anglia Ruskin University,623.08,51.7414737,0.4741948,https://www.thecompleteuniversityguide.co.uk/anglia-ruskin/
Arden University,0,52.369806,-1.4677799,https://www.thecompleteuniversityguide.co.uk/arden/
Arts University Bournemouth,758.33,50.741,-1.897931,https://www.thecompleteuniversityguide.co.uk/arts-university-bournemouth/
Aston University,0,52.4868584,-1.8882174,https://www.thecompleteuniversityguide.co.uk/aston/
University of Bath,801.67,51.3782228,-2.3263987,https://www.thecompleteuniversityguide.co.uk/bath/
Bath Spa University,1070.33,51.37555529999999,-2.4382603,https://www.thecompleteuniversityguide.co.uk/bath-spa/
University of Bedfordshire,862.33,51.8778602,-0.4092921,https://www.thecompleteuniversityguide.co.uk/bedfordshire/
Birkbeck,1213.33,51.521975,-0.130462,https://www.thecompleteuniversityguide.co.uk/birkbeck/
University of Birmingham,669.67,52.4511304,-1.9317168,https://www.thecompleteuniversityguide.co.uk/birmingham/
Birmingham City University,671.67,52.482274,-1.8888201,https://www.thecompleteuniversityguide.co.uk/birmingham-city/
Bishop Grosseteste University,385.25,53.24382259999999,-0.5364247,https://www.thecompleteuniversityguide.co.uk/bishop-grosseteste/
University of Bolton,0,53.572879,-2.437932,https://www.thecompleteuniversityguide.co.uk/bolton/
Bournemouth University,779.83,50.74244729999999,-1.8961022,https://www.thecompleteuniversityguide.co.uk/bournemouth/
BPP University,0,51.5139842,-0.0811523,https://www.thecompleteuniversityguide.co.uk/bpp-university/
University of Bradford,533.0,53.7915488,-1.7662402,https://www.thecompleteuniversityguide.co.uk/bradford/
University of Brighton,780.0,50.8442824,-0.1194977,https://www.thecompleteuniversityguide.co.uk/brighton/
University of Bristol,1087.67,51.4584172,-2.6029792,https://www.thecompleteuniversityguide.co.uk/bristol/
Brunel University London,693.33,51.5324044,-0.4729931,https://www.thecompleteuniversityguide.co.uk/brunel/
The University of Buckingham,816.67,51.9953909,-0.9916666,https://www.thecompleteuniversityguide.co.uk/buckingham/
Buckinghamshire New University,665.92,51.6279158,-0.7534042,https://www.thecompleteuniversityguide.co.uk/buckinghamshire-new/
University of Cambridge,0,52.2038759,0.1195779,https://www.thecompleteuniversityguide.co.uk/cambridge/
Canterbury Christ Church University,0,51.277939,1.090659,https://www.thecompleteuniversityguide.co.uk/canterbury-christ-church/
University of Central Lancashire,498.33,53.7641378,-2.7092453,https://www.thecompleteuniversityguide.co.uk/central-lancashire/
University of Chester,650.0,53.20027109999999,-2.8991705,https://www.thecompleteuniversityguide.co.uk/chester/
University of Chichester,728.0,50.8450307,-0.7728918,https://www.thecompleteuniversityguide.co.uk/chichester/
City,1200.33,51.5278249,-0.1025445,https://www.thecompleteuniversityguide.co.uk/city-university-london/
The Courtauld Institute of Art,0,51.5116015,-0.1173968,https://www.thecompleteuniversityguide.co.uk/the-courtauld-institute-of-art/
Coventry University,584.33,52.4071747,-1.5037461,https://www.thecompleteuniversityguide.co.uk/coventry/
University of Cumbria,520.0,54.890876,-2.922234,https://www.thecompleteuniversityguide.co.uk/cumbria/
De Montfort University,700.33,52.6298007,-1.1396424,https://www.thecompleteuniversityguide.co.uk/de-montfort/
University of Derby,486.58,52.9378778,-1.4972811,https://www.thecompleteuniversityguide.co.uk/derby/
Durham University,658.42,54.7685785,-1.5721071,https://www.thecompleteuniversityguide.co.uk/durham/
University of East Anglia,710.67,52.6219215,1.2391761,https://www.thecompleteuniversityguide.co.uk/east-anglia/
University of East London,0,51.5076024,0.0650809,https://www.thecompleteuniversityguide.co.uk/east-london-uel/
Edge Hill University,550.33,53.5596834,-2.8738498,https://www.thecompleteuniversityguide.co.uk/edge-hill/
University of Essex,827.67,51.87772589999999,0.9472069000000001,https://www.thecompleteuniversityguide.co.uk/essex/
University of Exeter,1097.33,50.7353218,-3.5350734,https://www.thecompleteuniversityguide.co.uk/exeter/
Falmouth University,656.33,50.149165,-5.070685000000001,https://www.thecompleteuniversityguide.co.uk/falmouth-university/
University of Gloucestershire,853.67,51.8881379,-2.0874135,https://www.thecompleteuniversityguide.co.uk/gloucestershire/
Goldsmiths,1291.33,51.47427099999999,-0.035408,https://www.thecompleteuniversityguide.co.uk/goldsmiths/
University of Greenwich,935.0,51.484012,-0.00499,https://www.thecompleteuniversityguide.co.uk/greenwich/
Guildhall School of Music and Drama,0,51.51971229999999,-0.0918272,https://www.thecompleteuniversityguide.co.uk/guildhall-school-of-music-and-drama/
Harper Adams University,500.0,52.7794512,-2.4271346,https://www.thecompleteuniversityguide.co.uk/harper-adams/
Hartpury University,0,51.9057907,-2.3058615,https://www.thecompleteuniversityguide.co.uk/hartpury-university/
University of Hertfordshire,662.5,51.7518204,-0.2387957,https://www.thecompleteuniversityguide.co.uk/hertfordshire/
University of Huddersfield,693.33,53.643727,-1.7787888,https://www.thecompleteuniversityguide.co.uk/huddersfield/
The University of Hull,845.0,53.773162,-0.3677464,https://www.thecompleteuniversityguide.co.uk/hull/
Imperial College London,1217.67,51.49879970000001,-0.1748772,https://www.thecompleteuniversityguide.co.uk/imperial-college-london/
Keele University,753.08,53.0030511,-2.2737212,https://www.thecompleteuniversityguide.co.uk/keele/
The University of Kent,649.58,51.2985595,1.0713955,https://www.thecompleteuniversityguide.co.uk/kent/
King's College London,88179.0,51.5114864,-0.115997,https://www.thecompleteuniversityguide.co.uk/kings-college-london/
Kingston University,1375.0,51.4032431,-0.3034882,https://www.thecompleteuniversityguide.co.uk/kingston/
Lancaster University,858.0,54.0106601,-2.788237,https://www.thecompleteuniversityguide.co.uk/lancaster/
University of Leeds,0,53.8066815,-1.5550328,https://www.thecompleteuniversityguide.co.uk/leeds/
Leeds Arts University,531.67,53.808845,-1.551577,https://www.thecompleteuniversityguide.co.uk/leeds-arts-university/
Leeds Beckett University,944.67,53.8030536,-1.5483271,https://www.thecompleteuniversityguide.co.uk/leeds-beckett/
Leeds Trinity University,602.33,53.8483885,-1.6455383,https://www.thecompleteuniversityguide.co.uk/leeds-trinity/
University of Leicester,0,52.6211393,-1.1246325,https://www.thecompleteuniversityguide.co.uk/leicester/
University of Lincoln,525.0,53.2279107,-0.5501933,https://www.thecompleteuniversityguide.co.uk/lincoln/
University of Liverpool,693.0,53.40478239999999,-2.965299,https://www.thecompleteuniversityguide.co.uk/liverpool/
Liverpool Hope University,125.0,53.3908007,-2.8922988,https://www.thecompleteuniversityguide.co.uk/liverpool-hope/
The Liverpool Institute for Performing Arts,736.67,53.399573,-2.972306,https://www.thecompleteuniversityguide.co.uk/liverpool-institute-for-performing-arts/
Liverpool John Moores University,581.0,53.4110756,-2.9881957,https://www.thecompleteuniversityguide.co.uk/liverpool-john-moores/
The London Institute of Banking & Finance,0,51.509645,-0.084088,https://www.thecompleteuniversityguide.co.uk/london-institute-of-banking-and-finance/
London Metropolitan University,0,51.551617,-0.110715,https://www.thecompleteuniversityguide.co.uk/london-metropolitan/
LSE,29.75,51.5144388,-0.1164513,https://www.thecompleteuniversityguide.co.uk/london-school-of-economics/
London South Bank University,892.67,51.4979806,-0.1023327,https://www.thecompleteuniversityguide.co.uk/london-south-bank/
Loughborough University,616.67,52.7650814,-1.2320534,https://www.thecompleteuniversityguide.co.uk/loughborough/
The University of Manchester,0,53.4668498,-2.2338837,https://www.thecompleteuniversityguide.co.uk/manchester/
Manchester Metropolitan University,914.33,53.4704767,-2.2394124,https://www.thecompleteuniversityguide.co.uk/manchester-metropolitan/
Medway School of Pharmacy,0,51.3971787,0.5394614999999999,https://www.thecompleteuniversityguide.co.uk/medway-school-of-pharmacy/
Middlesex University,771.33,51.59013789999999,-0.228914,https://www.thecompleteuniversityguide.co.uk/middlesex/
New College of the Humanities,0,51.51944280000001,-0.1305569,https://www.thecompleteuniversityguide.co.uk/new-college-of-the-humanities/
Newcastle University,775.67,54.978939,-1.613581,https://www.thecompleteuniversityguide.co.uk/newcastle/
Newman University,0,52.4329957,-1.9936128,https://www.thecompleteuniversityguide.co.uk/newman-university/
University of Northampton,553.0,52.2732994,-0.8826548,https://www.thecompleteuniversityguide.co.uk/northampton/
Northumbria University,576.33,54.97662,-1.6092641,https://www.thecompleteuniversityguide.co.uk/northumbria/
Norwich University of the Arts,586.5,52.63031179999999,1.2966966,https://www.thecompleteuniversityguide.co.uk/norwich-university-of-the-arts/
The University of Nottingham,683.33,52.938681,-1.1951732,https://www.thecompleteuniversityguide.co.uk/nottingham/
Nottingham Trent University,734.58,52.958068,-1.1539858,https://www.thecompleteuniversityguide.co.uk/nottingham-trent/
The Open University,0,52.0252055,-0.7090257999999999,https://www.thecompleteuniversityguide.co.uk/the-open-university/
University of Oxford,0,51.75767339999999,-1.2617067,https://www.thecompleteuniversityguide.co.uk/oxford/
Oxford Brookes University,766.5,51.755011,-1.224225,https://www.thecompleteuniversityguide.co.uk/oxford-brookes/
Pearson Business School,0,51.5167181,-0.1232628,https://www.thecompleteuniversityguide.co.uk/pearson-college/
University of Plymouth,597.92,50.3761866,-4.139491899999999,https://www.thecompleteuniversityguide.co.uk/plymouth/
Plymouth Marjon University,498.33,50.4197618,-4.1104325,https://www.thecompleteuniversityguide.co.uk/plymouth-marjon/
University of Portsmouth,563.33,50.7951866,-1.0935923,https://www.thecompleteuniversityguide.co.uk/portsmouth/
Queen Mary University of London,762.67,51.5240671,-0.0403745,https://www.thecompleteuniversityguide.co.uk/queen-mary/
Ravensbourne,1035.67,51.50167279999999,0.005749600000000001,https://www.thecompleteuniversityguide.co.uk/ravensbourne/
University of Reading,0,51.4414205,-0.9418157,https://www.thecompleteuniversityguide.co.uk/reading/
University of Roehampton,788.67,51.4579866,-0.2432869,https://www.thecompleteuniversityguide.co.uk/roehampton/
Rose Bruford College of Theatre and Performance,845.0,51.4390917,0.1067683,https://www.thecompleteuniversityguide.co.uk/rose-bruford-college/
Royal Academy of Music,726.17,51.5233715,-0.1517215,https://www.thecompleteuniversityguide.co.uk/royal-academy-of-music/
Royal Agricultural University,691.67,51.709324,-1.994646,https://www.thecompleteuniversityguide.co.uk/royal-agricultural-university/
The Royal Central School of Speech and Drama,0,51.5443344,-0.1742045,https://www.thecompleteuniversityguide.co.uk/royal-central-school-of-speech-and-drama/
Royal College of Music,1798.33,51.4994415,-0.1770874,https://www.thecompleteuniversityguide.co.uk/royal-college-of-music/
Royal Holloway,548.25,51.425673,-0.5630625,https://www.thecompleteuniversityguide.co.uk/royal-holloway/
Royal Northern College of Music,0,53.4684331,-2.2365536,https://www.thecompleteuniversityguide.co.uk/royal-northern-college-of-music/
Royal Veterinary College,0,51.5366976,-0.1339696,https://www.thecompleteuniversityguide.co.uk/royal-veterinary-college/
University of Salford,667.33,53.4864432,-2.273396,https://www.thecompleteuniversityguide.co.uk/salford/
The University of Sheffield,733.0,53.3809409,-1.4879469,https://www.thecompleteuniversityguide.co.uk/sheffield/
Sheffield Hallam University,0,53.3780778,-1.466475,https://www.thecompleteuniversityguide.co.uk/sheffield-hallam/
SOAS University of London,1295.67,51.52235,-0.129259,https://www.thecompleteuniversityguide.co.uk/soas-university-of-london/
Solent University,684.67,50.9086975,-1.4010889,https://www.thecompleteuniversityguide.co.uk/solent/
University of Southampton,814.67,50.935742,-1.3966381,https://www.thecompleteuniversityguide.co.uk/southampton/
St George's,771.33,51.427401,-0.1749356,https://www.thecompleteuniversityguide.co.uk/st-georges/
St Mary's University,666.17,51.437026,-0.3350701,https://www.thecompleteuniversityguide.co.uk/st-marys/
Staffordshire University,406.25,53.0105894,-2.173361,https://www.thecompleteuniversityguide.co.uk/staffordshire/
University of Suffolk,741.0,52.0522152,1.1633402,https://www.thecompleteuniversityguide.co.uk/suffolk/
University of Sunderland,411.67,54.90448989999999,-1.3919524,https://www.thecompleteuniversityguide.co.uk/sunderland/
The University of Surrey,975.0,51.2427533,-0.5877755,https://www.thecompleteuniversityguide.co.uk/surrey/
University of Sussex,702.0,50.864268,-0.0865978,https://www.thecompleteuniversityguide.co.uk/sussex/
Teesside University,498.33,54.570766,-1.2352577,https://www.thecompleteuniversityguide.co.uk/teesside/
Trinity Laban Faculty of Dance,0,51.4834001,-0.006745999999999999,https://www.thecompleteuniversityguide.co.uk/trinity-laban-conservatoire-of-music-and-dance/
UCFB Wembley,0,51.557239,-0.279501,https://www.thecompleteuniversityguide.co.uk/university-college-of-football-business-(ucfb)/
University College London,0,51.52455920000001,-0.1340401,https://www.thecompleteuniversityguide.co.uk/university-college-london/
University College of Estate Management,0,51.4532339,-0.9635648,https://www.thecompleteuniversityguide.co.uk/university-college-of-estate-management/
University College of Osteopathy,0,51.5002045,-0.0946776,https://www.thecompleteuniversityguide.co.uk/university-college-of-osteopathy/
UCA Farnham,500.0,51.2150866,-0.805373,https://www.thecompleteuniversityguide.co.uk/university-for-the-creative-arts/
The University of Law,0,51.2244792,-0.5831189999999999,https://www.thecompleteuniversityguide.co.uk/university-of-law/
272 High Holborn,1382.33,51.5177016,-0.1163985,https://www.thecompleteuniversityguide.co.uk/university-of-the-arts/
University of Warwick,866.67,52.3860241,-1.5649432,https://www.thecompleteuniversityguide.co.uk/warwick/
University of West London,1050.0,51.50688040000001,-0.3033577,https://www.thecompleteuniversityguide.co.uk/west-london/
University of the West England,0,51.5002821,-2.5480446,https://www.thecompleteuniversityguide.co.uk/west-of-england/
University of Westminster,762.67,51.52058659999999,-0.141079,https://www.thecompleteuniversityguide.co.uk/westminster/
University of Winchester,745.25,51.0597413,-1.3282474,https://www.thecompleteuniversityguide.co.uk/winchester/
University of Wolverhampton,326.83,52.58817699999999,-2.1274393,https://www.thecompleteuniversityguide.co.uk/wolverhampton/
University of Worcester,715.0,52.1970053,-2.2428253,https://www.thecompleteuniversityguide.co.uk/worcester/
Writtle University College,593.33,51.736605,0.427964,https://www.thecompleteuniversityguide.co.uk/writtle-university-college/
University of York,823.33,53.9461089,-1.0517718,https://www.thecompleteuniversityguide.co.uk/york/
York St John University,697.67,53.9649139,-1.0800959,https://www.thecompleteuniversityguide.co.uk/york-st-john/
Queen's University Belfast,395.83,54.5844087,-5.9340493,https://www.thecompleteuniversityguide.co.uk/queens-belfast/
Ulster University,897.0,55.1497581,-6.6751586,https://www.thecompleteuniversityguide.co.uk/ulster/
Student Recruitment and Admissions Service,0,57.16475999999999,-2.1015257,https://www.thecompleteuniversityguide.co.uk/aberdeen/
Abertay University,446.75,56.463307,-2.973917,https://www.thecompleteuniversityguide.co.uk/abertay/
University of Dundee,486.0,56.45824469999999,-2.9821428,https://www.thecompleteuniversityguide.co.uk/dundee/
University of Edinburgh,774.25,55.9431974,-3.1856071,https://www.thecompleteuniversityguide.co.uk/edinburgh/
Edinburgh Napier University,736.67,55.9260983,-3.2893238,https://www.thecompleteuniversityguide.co.uk/edinburgh-napier/
University of Glasgow,594.67,55.87212109999999,-4.288200499999999,https://www.thecompleteuniversityguide.co.uk/glasgow/
Glasgow Caledonian University,511.33,55.8668183,-4.249960199999999,https://www.thecompleteuniversityguide.co.uk/glasgow-caledonian/
The Glasgow School of Art,602.33,55.8663938,-4.2635911,https://www.thecompleteuniversityguide.co.uk/glasgow-school-of-art/
Heriot-Watt University,775.67,55.9096602,-3.3203494,https://www.thecompleteuniversityguide.co.uk/heriot-watt/
University of the Highlands and Islands,0,57.47101389999999,-4.2306276,https://www.thecompleteuniversityguide.co.uk/university-of-the-highlands-and-islands/
Queen Margaret University,537.33,55.931681,-3.0734503,https://www.thecompleteuniversityguide.co.uk/queen-margaret/
The Robert Gordon University,625.0,57.1187528,-2.1386836,https://www.thecompleteuniversityguide.co.uk/robert-gordon/
Royal Conservatoire of Scotland,0,55.8661893,-4.257588699999999,https://www.thecompleteuniversityguide.co.uk/royal-conservatoire-of-scotland/
University of St Andrews,680.83,56.3427027,-2.7971109,https://www.thecompleteuniversityguide.co.uk/st-andrews/
University of Stirling,819.0,56.1453043,-3.9204755,https://www.thecompleteuniversityguide.co.uk/stirling/
University of Strathclyde,593.67,55.862122,-4.2422851,https://www.thecompleteuniversityguide.co.uk/strathclyde/
University of the West of Scotland,680.33,55.8440749,-4.4303226,https://www.thecompleteuniversityguide.co.uk/west-of-scotland/
Aberystwyth University,565.5,52.4171237,-4.067323099999999,https://www.thecompleteuniversityguide.co.uk/aberystwyth/
Bangor University,823.33,53.2295205,-4.1299873,https://www.thecompleteuniversityguide.co.uk/bangor/
Cardiff University,503.83,51.48662710000001,-3.1788641,https://www.thecompleteuniversityguide.co.uk/cardiff/
Cardiff Metropolitan University,741.0,51.4957427,-3.21252,https://www.thecompleteuniversityguide.co.uk/cardiff-metropolitan-university-uwic/
University of South Wales,563.33,51.5892389,-3.3308273,https://www.thecompleteuniversityguide.co.uk/university-of-south-wales/
Swansea University,667.33,51.6092184,-3.9799524,https://www.thecompleteuniversityguide.co.uk/swansea/
University of Wales Trinity Saint David,427.5,51.85834999999999,-4.32871,https://www.thecompleteuniversityguide.co.uk/university-of-wales-trinity-saint-david/
Wrexham Glyndŵr University,0,53.0536734,-3.0034533,https://www.thecompleteuniversityguide.co.uk/glyndwr/
